,time,Wochentag,Stunde,Anzahl,AVG_flow,AVG_speed
0,2021-11-14 01:03:00+01:00,0,00,336,293.39285714285717,66.98035750625002
1,2021-11-14 02:03:00+01:00,0,01,336,200.0,65.50178597440478
2,2021-11-14 03:03:00+01:00,0,02,330,163.8181818181818,62.94909092212122
3,2021-11-07 04:53:00+01:00,0,03,444,164.59459459459458,60.31644160653154
4,2021-11-07 05:00:00+01:00,0,04,1571,218.87969446212603,62.639083428262126
5,2021-11-14 06:00:00+01:00,0,05,1546,367.7619663648124,65.83861596435955
6,2021-11-07 07:53:00+01:00,0,06,1463,522.241968557758,67.99494207887896
7,2021-11-07 08:04:00+01:00,0,07,330,685.2727272727273,68.14393952393938
8,2021-11-07 09:04:00+01:00,0,08,336,943.9285714285714,67.62708336845236
9,2021-11-07 10:04:00+01:00,0,09,336,1176.607142857143,66.83630947857144
10,2021-11-07 11:04:00+01:00,0,10,336,1353.0357142857142,66.2857144711309
11,2021-11-07 12:04:00+01:00,0,11,336,1376.607142857143,65.89553575386905
12,2021-11-07 13:04:00+01:00,0,12,336,1438.9285714285713,66.07648806488099
13,2021-11-07 14:05:00+01:00,0,13,470,1422.5106382978724,65.97063850553192
14,2021-11-14 15:00:00+01:00,0,14,1616,1434.3564356435643,65.56924517939346
15,2021-11-14 16:00:00+01:00,0,15,1605,1445.1214953271028,62.82542064162002
16,2021-11-07 17:53:00+01:00,0,16,1491,1344.1448692152917,63.05003364983225
17,2021-11-07 18:03:00+01:00,0,17,335,1167.402985074627,65.08059716417908
18,2021-11-07 19:03:00+01:00,0,18,334,953.5329341317365,65.79401200029932
19,2021-11-07 20:03:00+01:00,0,19,336,735.1785714285714,63.768750101488116
20,2021-11-07 21:03:00+01:00,0,20,335,443.1044776119403,50.87999998567166
21,2021-11-07 22:04:00+01:00,0,21,336,152.32142857142858,28.81428577827382
22,2021-11-07 23:04:00+01:00,0,22,336,103.03571428571429,26.73541674315476
23,2021-11-08 00:04:00+01:00,0,23,336,53.75,22.572619155654767
24,2021-11-08 01:04:00+01:00,1,00,336,31.646341463414632,18.62378054237805
25,2021-11-08 02:04:00+01:00,1,01,336,24.62962962962963,16.46512348302469
26,2021-11-08 03:04:00+01:00,1,02,336,40.78549848942598,20.84894265679758
27,2021-11-08 04:04:00+01:00,1,03,467,275.71734475374734,46.54668105631692
28,2021-11-08 05:00:00+01:00,1,04,1697,843.712433706541,63.885268204065916
29,2021-11-08 06:00:00+01:00,1,05,1727,1558.6103068905616,59.69635212061378
30,2021-11-08 07:00:00+01:00,1,06,1635,1563.48623853211,56.53412842652597
31,2021-11-08 08:03:00+01:00,1,07,349,1232.3209169054442,60.530659258739206
32,2021-11-08 09:03:00+01:00,1,08,347,1167.6657060518733,61.892219024495645
33,2021-11-08 10:03:00+01:00,1,09,346,1248.208092485549,63.60144524797689
34,2021-11-08 11:03:00+01:00,1,10,348,1307.5862068965516,65.17672410545978
35,2021-11-08 12:03:00+01:00,1,11,348,1360.8620689655172,65.01379314540237
36,2021-11-08 13:03:00+01:00,1,12,348,1481.551724137931,63.77959763218394
37,2021-11-08 14:03:00+01:00,1,13,491,1439.3890020366598,64.47617092077392
38,2021-11-08 15:00:00+01:00,1,14,1727,1528.8708743485813,59.49525192563972
39,2021-11-08 16:01:00+01:00,1,15,1716,1653.1818181818182,47.491550140227275
40,2021-11-08 17:00:00+01:00,1,16,1596,1699.9248120300751,49.66885964946736
41,2021-11-08 18:03:00+01:00,1,17,348,1412.0689655172414,63.686206980431024
